Tabla	Campo	Var Type	Utilizado	Campo en Json	Mapeo api endpoint	frecuencia
wms_orders	vtex_id	varchar(50)	SI	commerceId	https://oms.janis.in/api/order	5 min
wms_orders	id	bigint	SI	id	https://oms.janis.in/api/order	5 min
wms_orders	seq_id	varchar(50)	SI	commerceSequentialId	https://oms.janis.in/api/order	5 min
wms_orders	ecommerce_account	bigint	SI	account.id	https://oms.janis.in/api/order	5 min
wms_orders	seller_id	bigint	SI	seller.id	https://oms.janis.in/api/order	5 min
wms_orders	seller_ecom_id	varchar(50)	SI	seller.commerceId	https://oms.janis.in/api/order	5 min
wms_orders	website_name	varchar(100)	SI	salesChannelName	https://oms.janis.in/api/order	5 min
wms_orders	customer	bigint	SI	customer.id	https://oms.janis.in/api/order	5 min
wms_orders	customer_address	bigint	SI	addresses[].id	https://oms.janis.in/api/order	5 min
wms_orders	store	bigint	SI	statusPerLocation[].locationId	https://oms.janis.in/api/order	5 min
wms_orders	sales_channel	smallint	SI	salesChannelId	https://oms.janis.in/api/order	5 min
wms_orders	invoice_date	bigint	SI	invoices[].dateCreated	https://oms.janis.in/api/order	5 min
wms_orders	invoice_number	varchar(80)	SI	invoices[].number	https://oms.janis.in/api/order	5 min
wms_orders	invoice_ammount	float(12,2)	SI	invoices[].amount	https://oms.janis.in/api/order	5 min
wms_orders	product_qty	smallint	SI	productsQuantity	https://oms.janis.in/api/order	5 min
wms_orders	items_qty	smallint	SI	itemsQuantity	https://oms.janis.in/api/order	5 min
wms_orders	product_qty_picked	smallint	SI	pickingSessions.totalProductsPicked	https://picking.janis.in/api/session/{id}	5 min
wms_orders	items_qty_picked	smallint	SI	pickingSessions.totalItemsPicked	https://picking.janis.in/api/session/{id}	5 min
wms_orders	product_substitute_qty	smallint	SI	pickingSessions.totalProductsSubstitutes	https://picking.janis.in/api/session/{id}	5 min
wms_orders	items_substitute_qty	smallint	SI	pickingSessions.totalItemsSubstitutes	https://picking.janis.in/api/session/{id}	5 min
wms_orders	product_substituted_qty	smallint	SI	pickingSessions.totalProductsSubstitutes	https://picking.janis.in/api/session/{id}	5 min
wms_orders	product_qty_missing	smallint	SI	pickingSessions.totalProductsMissing	https://picking.janis.in/api/session/{id}	5 min
wms_orders	total	decimal(15,5)	SI	totalAmount	https://oms.janis.in/api/order	5 min
wms_orders	total_items	decimal(15,5)	SI	totals.items.amount	https://oms.janis.in/api/order	5 min
wms_orders	total_discount	decimal(15,5)	SI	totals.discounts.amount	https://oms.janis.in/api/order	5 min
wms_orders	total_shipping	decimal(15,5)	SI	totals.shipping.amount	https://oms.janis.in/api/order	5 min
wms_orders	total_changes	decimal(15,5)	SI	totals.items.amount - totals.items.originalAmount	https://oms.janis.in/api/order	5 min
wms_orders	total_original	decimal(15,5)	SI	originalAmount	https://oms.janis.in/api/order	5 min
wms_orders	total_items_original	decimal(15,5)	SI	totals.items.originalAmount	https://oms.janis.in/api/order	5 min
wms_orders	amount_to_capture	decimal(15,5)	SI	totalAmount	https://oms.janis.in/api/order	5 min
wms_orders	items_qty_original	smallint	SI	pickingSessions.totalItems	https://oms.janis.in/api/order	5 min
wms_orders	total_shipping_original	decimal(15,5)	SI	totals.shipping.originalAmount	https://oms.janis.in/api/order	5 min
wms_orders	total_discount_original	decimal(15,5)	SI	totals.discounts.originalAmount	https://oms.janis.in/api/order	5 min
wms_orders	status	smallint	SI	status	https://oms.janis.in/api/order	5 min
wms_orders	user_created	bigint	SI	userCreated	https://oms.janis.in/api/order	5 min
wms_orders	user_modified	bigint	SI	userModified	https://oms.janis.in/api/order	5 min
wms_orders	date_created	bigint	SI	dateCreated	https://oms.janis.in/api/order	5 min
wms_orders	date_picked	bigint	SI	N/A	https://oms.janis.in/api/order	5 min
admins	id	bigint unsigned	SI	id (alfanumerico)	https://id.janis.in/api/user/{id}	sin update
admins	employee_id	varchar(50)	SI	employeeId	https://id.janis.in/api/user/{id}	sin update
admins	firstname	varchar(255)	SI	firstname	https://id.janis.in/api/user	sin update
admins	lastname	varchar(255)	SI	lastname	https://id.janis.in/api/user	sin update
admins	email	varchar(255)	SI	email	https://id.janis.in/api/user	sin update
