Tabla;Campo;Var Type;Utilizado;Campo en Json;Mapeo api endpoint;Cobertura;Column 8;Observaciones;;;;;;;;;;;;;;;;;
wms_orders;vtex_id;varchar(50);SI;commerceId;https://oms.janis.in/api/order;Completa;wms_orders vtex_id;;;Completa: El campo está disponible en la API/Webhook con la misma granularidad.;;;;;;;;;;;;;;;
wms_orders;id;bigint;SI;id;https://oms.janis.in/api/order;Completa;wms_orders id;;;Parcial: El campo existe pero la información es diferente o agregada.;;;;;;;;;;;;;;;
wms_orders;seq_id;varchar(50);SI;commerceSequentialId;https://oms.janis.in/api/order;Completa;wms_orders seq_id;;;Nula: El campo no existe en la nueva fuente de datos.;;;;;;;;;;;;;;;
wms_orders;ecommerce_account;bigint;SI;account.id;https://oms.janis.in/api/order;Completa;wms_orders ecommerce_account;;;TBD (Por Definir): Aún no se ha investigado o requiere confirmación.;;;;;;;;;;;;;;;
wms_orders;seller_id;bigint;SI;seller.id;https://oms.janis.in/api/order;Completa;wms_orders seller_id;;;;;;;;;;;;;;;;;;
wms_orders;seller_ecom_id;varchar(50);SI;seller.commerceId;https://oms.janis.in/api/order;Completa;wms_orders seller_ecom_id;;;;;;;;;;;;;;;;;;
wms_orders;website_name;varchar(100);SI;salesChannelName;https://oms.janis.in/api/order;Completa;wms_orders website_name;;;;;;;;;;;;;;;;;;
wms_orders;customer;bigint;SI;customer.id;https://oms.janis.in/api/order;Completa;wms_orders customer;;;;;;;;;;;;;;;;;;
wms_orders;customer_address;bigint;SI;addresses[].id;https://oms.janis.in/api/order;Parcial;wms_orders customer_address;ID de dirección en array addresses;;;;;;;;;;;;;;;;;
wms_orders;store;bigint;SI;statusPerLocation[].locationId;https://oms.janis.in/api/order;Parcial;wms_orders store;ID de tienda en statusPerLocation;;;;;;;;;;;;;;;;;
wms_orders;sales_channel;smallint;SI;salesChannelId;https://oms.janis.in/api/order;Completa;wms_orders sales_channel;;;;;;;;;;;;;;;;;;
wms_orders;picker;bigint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders picker;pickingResult.pickerId/pickingSession.pickerId (Todavia no esta en prod);;;;;;;;;;;;;;;;;
wms_orders;invoice_date;bigint;SI;invoices[].dateCreated;https://oms.janis.in/api/order;Completa;wms_orders invoice_date;Conversión bigint (timestamp) → ISO 8601;;;;;;;;;;;;;;;;;
wms_orders;invoice_number;varchar(80);SI;invoices[].number;https://oms.janis.in/api/order;Completa;wms_orders invoice_number;;;;;;;;;;;;;;;;;;
wms_orders;invoice_ammount;float(12,2);SI;invoices[].amount;https://oms.janis.in/api/order;Completa;wms_orders invoice_ammount;;;;;;;;;;;;;;;;;;
wms_orders;product_qty;smallint;SI;productsQuantity;https://oms.janis.in/api/order;Completa;wms_orders product_qty;;;;;;;;;;;;;;;;;;
wms_orders;items_qty;smallint;SI;itemsQuantity;https://oms.janis.in/api/order;Completa;wms_orders items_qty;;;;;;;;;;;;;;;;;;
wms_orders;product_qty_picked;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders product_qty_picked;pickingResults[].eanCount;;;;;;;;;;;;;;;;;
wms_orders;items_qty_picked;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders items_qty_picked;pickingResults[].totalQuantity;;;;;;;;;;;;;;;;;
wms_orders;product_substitute_qty;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders product_substitute_qty;pickingResults[].eSustitue;;;;;;;;;;;;;;;;;
wms_orders;items_substitute_qty;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders items_substitute_qty;Revisar en pedido con sustituto;;;;;;;;;;;;;;;;;
wms_orders;product_substituted_qty;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders product_substituted_qty;Revisar en pedido con sustituto;;;;;;;;;;;;;;;;;
wms_orders;items_substituted_qty;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders items_substituted_qty;Revisar en pedido con sustituto;;;;;;;;;;;;;;;;;
wms_orders;product_qty_missing;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders product_qty_missing;Revisar en pedido con sustituto;;;;;;;;;;;;;;;;;
wms_orders;items_qty_missing;smallint;SI;N/A;https://oms.janis.in/api/order (asumido);Nula;wms_orders items_qty_missing;Revisar en pedido con sustituto;;;;;;;;;;;;;;;;;
