dateCreated,userCreated,type,name,icon,customData_invoiceForms,customData_invoiceNumber,customData_invoiceCurrency,customData_invoiceValue
2025-11-12T03:19:18.221Z,,statusChange,new,check_bold,,,,
2025-11-12T03:19:20.271Z,,statusChange,needsIntervention,check_bold,,,,
2025-11-12T04:30:23.832Z,637543a63a7aa8262251e37d,statusChange,new,check_bold,,,,
2025-11-12T04:30:25.302Z,,statusChange,needsIntervention,check_bold,,,,
2025-11-12T04:41:17.529Z,,statusChange,needsIntervention,check_bold,,,,
2025-11-12T04:41:15.953Z,637543a63a7aa8262251e37d,statusChange,new,check_bold,,,,
2025-11-12T21:10:55.214Z,637543a63a7aa8262251e37d,statusChange,new,check_bold,,,,
2025-11-12T21:10:57.385Z,,statusChange,readyForPicking,check_bold,,,,
2025-11-13T00:14:20.728Z,,statusChange,picking,check_bold,,,,
2025-11-13T00:14:21.726Z,,milestone,packageAssignment,box,,,,
2025-11-13T00:14:21.926Z,,statusChange,processingPicking,check_bold,,,,
2025-11-13T00:14:22.386Z,,statusChange,readyForInvoice,check_bold,,,,
2025-11-13T00:14:23.015Z,,milestone,invoiceFormsCreated,pos,"[{""id"": ""691522de82943ad5f7e27a87"", ""value"": 23.83, ""itemsQuantity"": 2}]",,,
2025-11-13T00:14:21.570Z,,statusChange,readyToProcessPicking,check_bold,,,,
2025-11-13T00:14:22.100Z,,statusChange,processingPicking,check_bold,,,,
2025-11-13T00:14:42.764Z,,milestone,invoiceReceived,electronic_bill,,112098161,PEN,23.95
2025-11-13T00:14:49.631Z,,statusChange,readyForInvoice,check_bold,,,,
2025-11-13T00:14:50.071Z,,statusChange,preparingInternalDistribution,check_bold,,,,
2025-11-13T00:14:50.824Z,,statusChange,validatingPayments,check_bold,,,,
2025-11-13T00:14:51.106Z,,statusChange,readyForDelivery,check_bold,,,,
2025-11-13T00:14:48.812Z,,statusChange,processingRepacking,check_bold,,,,
2025-11-13T00:14:49.806Z,,statusChange,invoiced,check_bold,,,,
